asin,brand,type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Label
B0002M6CW6,Ernie Ball,INSTRUMENT_PARTS_AND_ACCESSORIES,1.45112782,0.998272884,0.776816609,0.888641425,2.067669173,0.68969697,0.996485062,1.003527337,0.998242531,1.001760563,1.001757469,1.003508772,0.998251748,0.998248687,1.001754386,1.001751313,0.998251748,1.00525394,1.00174216,1.00173913,up
B07FP5X3JH,Filtrete,HVAC_AIR_FILTER,1.026019515,1.062179956,0.892561983,0.990483539,1.011425604,1.102439024,0.639962739,1.384643377,0.951116951,0.999171042,1.122511062,0.899728997,1.006571742,1.022306855,0.999733901,0.978174075,1.000544218,0.997280392,1.000545405,1.006541292,down
B07JDGBX9D,Gildan,SHIRT,1,0.748592871,1.335839599,1,1,0.687929956,1.453636364,0.687929956,1.453636364,1,1,1,0.687929956,1.167272727,0.856697819,1.635454545,0.720956087,1.541249036,1,1,up
B077ZJXCTS,Gildan,SHIRT,0.830833333,1.203610832,0.830833333,1,1,1.100300903,1.185050137,1.23,0.937460913,0.86724483,1.153076923,0.86724483,1.153076923,0.86724483,1.153076923,0.86724483,1.153076923,0.86724483,1.153076923,0.678452302,down
B07JBS59X1,Gildan,SHIRT,1,0.687929956,1.453636364,0.687929956,0.954545455,1.618095238,1,1,1,1,1,1.058858152,0.974986103,1.025655644,1,0.999444136,1.000556174,1,1,1,up
B09315H9L3,Gildan,SHIRT,1.061611374,1.014384921,1.005867971,1.012639767,0.998079693,0.913419913,,,,,,,,,,,,,,,up
B07XVYGY4Z,Gildan,SHIRT,1,1,1.053368913,1,1.024065864,1.037105751,1.017292785,1,1,1,0.935521688,0.997493734,1.010050251,0.972014925,1.008957134,0.983512999,1.045132173,0.925354719,1.036,1.052767053,up
B093121LW9,Gildan,SHIRT,1,1,1,1.006319115,1.016221873,1.05715757,0.924987823,1,1,1,,,,,,,,,,,up
B07CX29FLX,Gildan,SHIRT,0.765606596,1.999230769,1.115429011,0.89651604,0.942670258,0.979183673,0.999166319,1.000834376,0.999166319,0.780141844,1.264705882,1.013530655,0.986649979,1.013530655,1.000834376,0.999166319,1.11514393,1.11335578,1.007728495,0.799933311,up
B07CX4V3CW,Gildan,SHIRT,0.541666667,1.999230769,1.115429011,0.89651604,0.942670258,0.979183673,0.999166319,1.000834376,0.999166319,0.780141844,1.264705882,1.013530655,0.986649979,1.013530655,1.000834376,0.999166319,1.11514393,1.11335578,1.007728495,0.799933311,down
B07CWZ1TTK,Gildan,SHIRT,1.999230769,1.115429011,0.89651604,0.942670258,0.979183673,0.999166319,1.000834376,0.999166319,0.873174802,1.145246058,0.986649979,1.013530655,0.986649979,1.013530655,1.000834376,0.999166319,1.11514393,1.11335578,1.007728495,0.799933311,up
B077ZNDNGT,Gildan,SHIRT,1.203610832,0.830833333,1.203610832,0.830833333,1.203610832,0.830833333,1.203610832,0.830833333,1.203610832,1.166666667,1.213571429,0.586815774,1.303911735,0.846153846,1.543636364,1.000588928,0.882283696,1.030687125,0.776699029,1.2875,up
B077ZL5935,Gildan,SHIRT,0.830833333,1.203610832,0.830833333,1.203610832,0.830833333,1.203610832,1.166666667,0.783571429,1.093892434,0.914166667,1.27620784,1.212857143,0.765606596,1.306153846,0.765606596,0.846153846,1.543636364,0.882803298,1.030687125,0.71197411,down
B08N5GKM77,Gildan,SWEATSHIRT,1.146024465,1.328218813,0.849824209,1.060283688,0.943143813,1.03250591,0.968517459,1.098699764,0.940290479,0.967963387,1.004137116,0.882283696,1.128752502,0.988770686,1.133891213,0.913020559,0.980946882,1.071806945,0.969247666,0.951274788,up
B092NPH6GQ,Hanes,SWEATSHIRT,0.94980695,1.052845528,0.97992278,0.988967691,0.909960159,1.177758319,0.950185874,0.949921753,1.208401977,0.980231766,0.986091794,0.77574048,1.163636364,0.859375,1.193636364,1.034272658,,,,,up
